style,style_rank,shortlist_tier,recommended_role,owner_style,owner_match,shortlist_score,original_score,duplicate_style_count,duplicate_styles,query,title,object_type,classification,rights_status,file_path,file_name,source_key,external_id,source_url,heuristic_reason,notes,selection_bucket,train_pick,selection_note,train_style_rank
architectural_volume,1,B,core_train,architectural_volume,yes,63,54,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/01_met_open_access_343200_costume-design.jpg,01_met_open_access_343200_costume-design.jpg,met_open_access,343200,https://www.metmuseum.org/art/collection/search/343200,base=54; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343200 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,1
architectural_volume,2,B,core_train,architectural_volume,yes,63,54,16,architectural_volume | artisanal_deconstruction | baroque_narrative | bionic_couture | corset_cabaret | gothic_theatre | insect_power | maximalist_romance | metal_modular | minimalist_chic | modern_croquis | paris_new_look | pleated_motion | punk_rococo | space_age_clean | surreal_gold,costume design drawing,Costume Design,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/03_met_open_access_343202_costume-design.jpg,03_met_open_access_343202_costume-design.jpg,met_open_access,343202,https://www.metmuseum.org/art/collection/search/343202,base=54; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -60:cross_style_duplicate,"source=The Met Open Access | title=Costume Design | object_type=Drawing | creator=Pierre-Numa Bassaget, called Numa | date=1836–37 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/343202 | rights=public_domain",style_anchor,yes,Strong owner-match reference for this style family.,2
architectural_volume,3,A,cross_style_review,baroque_narrative,no,125,42,5,architectural_volume | baroque_narrative | modern_croquis | paris_new_look | surreal_gold,costume design drawing,"Costume Design for ""Orlando""",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/05_met_open_access_341305_costume-design-for-orlando.jpg,05_met_open_access_341305_costume-design-for-orlando.jpg,met_open_access,341305,https://www.metmuseum.org/art/collection/search/341305,base=42; +28:costume design; +30:costume design for; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -16:cross_style_duplicate,"source=The Met Open Access | title=Costume Design for ""Orlando"" | object_type=Drawing | creator=Charles Bianchini | date=1889 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/341305 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,3
architectural_volume,4,A,cross_style_review,baroque_narrative,no,117,42,7,architectural_volume | baroque_narrative | corset_cabaret | insect_power | modern_croquis | paris_new_look | surreal_gold,costume design drawing,"Costume Design for ""Adam""",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/04_met_open_access_341315_costume-design-for-adam.jpg,04_met_open_access_341315_costume-design-for-adam.jpg,met_open_access,341315,https://www.metmuseum.org/art/collection/search/341315,base=42; +28:costume design; +30:costume design for; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -24:cross_style_duplicate,"source=The Met Open Access | title=Costume Design for ""Adam"" | object_type=Drawing | creator=Charles Bianchini | date=1889 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/341315 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,4
architectural_volume,5,A,cross_style_review,paris_new_look,no,111,36,4,architectural_volume | modern_croquis | paris_new_look | surreal_gold,costume design drawing,Design for a theater costume,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/07_met_open_access_363488_design-for-a-theater-costume.jpg,07_met_open_access_363488_design-for-a-theater-costume.jpg,met_open_access,363488,https://www.metmuseum.org/art/collection/search/363488,base=36; +28:costume design; +18:theater costume; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -12:cross_style_duplicate,"source=The Met Open Access | title=Design for a theater costume | object_type=Drawing | creator=Anonymous, French, 19th century | date=ca. 1920–39 | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/363488 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,5
architectural_volume,6,A,cross_style_review,baroque_narrative,no,87,34,5,architectural_volume | baroque_narrative | modern_croquis | paris_new_look | surreal_gold,costume design drawing,"Design for Man's ""Medieval"" Costume",Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/12_met_open_access_341311_design-for-man-s-medieval-costume.jpg,12_met_open_access_341311_design-for-man-s-medieval-costume.jpg,met_open_access,341311,https://www.metmuseum.org/art/collection/search/341311,base=34; +28:costume design; +14:drawing; +14:drawings; +8:pen; +5:public_domain; -16:cross_style_duplicate,"source=The Met Open Access | title=Design for Man's ""Medieval"" Costume | object_type=Drawing | creator=Charles Bianchini | date=n.d. | query=costume design drawing | url=https://www.metmuseum.org/art/collection/search/341311 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,6
architectural_volume,7,B,cross_style_review,surreal_gold,no,75,36,4,architectural_volume | modern_croquis | paris_new_look | surreal_gold,fashion illustration,"Gallery of Fashion, vol. V: April 1, 1798 - March 1 1799",Book Costumes,Books,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/08_met_open_access_837926_gallery-of-fashion-vol-v-april-1-1798-march-1-1799.jpg,08_met_open_access_837926_gallery-of-fashion-vol-v-april-1-1798-march-1-1799.jpg,met_open_access,837926,https://www.metmuseum.org/art/collection/search/837926,base=36; +22:fashion illustration; +16:gallery of fashion; +8:pen; +5:public_domain; -12:cross_style_duplicate,"source=The Met Open Access | title=Gallery of Fashion, vol. V: April 1, 1798 - March 1 1799 | object_type=Book Costumes | creator=Nicolaus Heideloff | date=1794–1802 | query=fashion illustration | url=https://www.metmuseum.org/art/collection/search/837926 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,7
architectural_volume,8,B,cross_style_review,surreal_gold,no,75,36,4,architectural_volume | modern_croquis | paris_new_look | surreal_gold,fashion illustration,"Gallery of Fashion, vol. VI: April 1 1799 - March 1 1800",Book Costumes,Books,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/architectural_volume/images/09_met_open_access_837927_gallery-of-fashion-vol-vi-april-1-1799-march-1-1800.jpg,09_met_open_access_837927_gallery-of-fashion-vol-vi-april-1-1799-march-1-1800.jpg,met_open_access,837927,https://www.metmuseum.org/art/collection/search/837927,base=36; +22:fashion illustration; +16:gallery of fashion; +8:pen; +5:public_domain; -12:cross_style_duplicate,"source=The Met Open Access | title=Gallery of Fashion, vol. VI: April 1 1799 - March 1 1800 | object_type=Book Costumes | creator=Nicolaus Heideloff | date=1794–1802 | query=fashion illustration | url=https://www.metmuseum.org/art/collection/search/837927 | rights=public_domain",cross_style_fallback,yes,High-score fallback from another style bucket; review before final training.,8
artisanal_deconstruction,1,B,core_train,artisanal_deconstruction,yes,67,24,2,artisanal_deconstruction | pleated_motion,garment construction drawing,Figure in a Fur Trimmed Jacket,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/12_met_open_access_355520_figure-in-a-fur-trimmed-jacket.jpg,12_met_open_access_355520_figure-in-a-fur-trimmed-jacket.jpg,met_open_access,355520,https://www.metmuseum.org/art/collection/search/355520,base=24; +14:drawing; +14:drawings; +8:pen; +6:specific_query; +5:public_domain; -4:cross_style_duplicate,source=The Met Open Access | title=Figure in a Fur Trimmed Jacket | object_type=Drawing | creator=Romain Cazes | date=1828–81 | query=garment construction drawing | url=https://www.metmuseum.org/art/collection/search/355520 | rights=public_domain,style_anchor,yes,Strong owner-match reference for this style family.,1
artisanal_deconstruction,2,C,style_support,artisanal_deconstruction,yes,55,26,1,artisanal_deconstruction,garment construction drawing,Portrait of a Young Woman Wearing a Cloak and Bonnet,Drawing,Drawings,public_domain,/Users/zhengruyue/Documents/Playground/fashionmarker-ai/output/open-access-candidates/artisanal_deconstruction/images/11_met_open_access_409006_portrait-of-a-young-woman-wearing-a-cloak-and-bonnet.jpg,11_met_open_access_409006_portrait-of-a-young-woman-wearing-a-cloak-and-bonnet.jpg,met_open_access,409006,https://www.metmuseum.org/art/collection/search/409006,base=26; +14:drawing; +14:drawings; +8:pen; -18:portrait; +6:specific_query; +5:public_domain,source=The Met Open Access | title=Portrait of a Young Woman Wearing a Cloak and Bonnet | object_type=Drawing | creator=Théodore Chassériau | date=1850 | query=garment construction drawing | url=https://www.metmuseum.org/art/collection/search/409006 | rights=public_domain,style_anchor,yes,Strong owner-match reference for this style family.,2
